"","Estimate","StdErr","z.value","p.value","n","method","alpha","mean.tip.height","AIC","logLik","penlogLik","model.var"
"bg_num",0.962796931509709,0.0597451265034468,16.1150705983385,1.99935508317407e-58,13718,"logistic_MPLE",0.0389636425013501,325.050324280844,4173.29100590225,-2083.64550295112,-2078.34122615595,"No. botanical gardens"
"as.numeric(chklst_prov_num)",0.935439588481108,0.0568259230182171,16.4614939590375,6.93670464916707e-61,13718,"logistic_MPLE",0.0404298426479493,325.050324280844,4162.13516570948,-2078.06758285474,-2072.70342560545,"No. provinces"
"factor(ali_new_status)1",3.13309815798785,0.24583316463995,12.7448148120154,3.33181031913815e-37,13718,"logistic_MPLE",0.0348390911901102,325.050324280844,4314.05727423894,-2154.02863711947,-2150.24647734712,"Online-nursery availability"
"factor(wcup_eco_use_status)1",1.8723621701563,0.133186969370196,14.0581483234447,6.86592693811832e-45,13718,"logistic_MPLE",0.0523721992933654,325.050324280844,4341.50719366282,-2167.75359683141,-2163.17093445648,"Economic use"
"hab_suit_mean",0.709403293969605,0.0455746410414432,15.5657461640676,1.24410774818584e-54,6094,"logistic_MPLE",0.0653085216242297,325.050351606314,3487.72131199795,-1740.86065599898,-1735.06730605496,"Climatic suitability"
"new_sum.L3.code",1.31327615584011,0.0603517353926299,21.7603710530664,5.51007325892159e-105,12754,"logistic_MPLE",0.0692878269329443,325.050324020103,3881.5753799527,-1937.78768997635,-1932.1562038427,"Native range size"
"residence_time_to_2020",0.328708270327546,0.056569281056879,5.81072030943858,6.22046128764275e-09,2672,"logistic_MPLE",0.058633772923305,325.050366624253,2535.37552071779,-1264.68776035889,-1259.22160888302,"Min. residence time"
"factor(Life_form_new)1",1.97610914610038,0.152204494753722,12.9832509171156,1.52277287626947e-38,10967,"logistic_MPLE",0.0665677335906434,325.050320003032,4169.53845428185,-2080.76922714092,-2074.1975557453,"Life form"
"factor(Life_form_new)2",-0.190134219581535,0.133114074419682,-1.42835549441662,0.153189562338575,10967,"logistic_MPLE",0.0665677335906434,325.050320003032,4169.53845428185,-2080.76922714092,-2074.1975557453,"Life form"
"factor(prop_type)2",-0.839320301965087,0.166388078980754,-5.04435358053609,4.55057136735798e-07,8094,"logistic_MPLE",0.0706600443985686,325.050306202662,3252.33769203973,-1622.16884601987,-1615.58139294987,"Propagation mode"
"factor(prop_type)3",-0.802452075653033,0.118281909689715,-6.78423334352714,1.1670457277683e-11,8094,"logistic_MPLE",0.0706600443985686,325.050306202662,3252.33769203973,-1622.16884601987,-1615.58139294987,"Propagation mode"
"Height_max_max",0.37182568331195,0.0552112046060448,6.73460552011286,1.64375277460243e-11,7806,"logistic_MPLE",0.0635065034419787,325.050314106227,3259.74147992651,-1626.87073996326,-1621.48706182982,"Maximum height"
"Height_max_max1",-0.0331788026383134,0.0927558828228086,-0.357700251764029,0.720567644673337,7806,"logistic_MPLE",0.0638963719571451,325.050314106227,3194.21653872819,-1590.10826936409,-1576.5880262042,"Interaction between max. height and life form"
"Life_form_new1",1.42670743083088,0.181983104028723,7.83977962374844,4.51337827806495e-15,7806,"logistic_MPLE",0.0638963719571451,325.050314106227,3194.21653872819,-1590.10826936409,-1576.5880262042,"Interaction between max. height and life form"
"Life_form_new2",0.414973123210309,0.128760703107366,3.22282430272447,0.00126933386283898,7806,"logistic_MPLE",0.0638963719571451,325.050314106227,3194.21653872819,-1590.10826936409,-1576.5880262042,"Interaction between max. height and life form"
"Height_max_max:Life_form_new1",0.309785053831241,0.166416290490237,1.86150678469435,0.0626726434115903,7806,"logistic_MPLE",0.0638963719571451,325.050314106227,3194.21653872819,-1590.10826936409,-1576.5880262042,"Interaction between max. height and life form"
"Height_max_max:Life_form_new2",0.459665724011332,0.106612663057239,4.31154903019862,1.62114816076028e-05,7806,"logistic_MPLE",0.0638963719571451,325.050314106227,3194.21653872819,-1590.10826936409,-1576.5880262042,"Interaction between max. height and life form"
