"Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate",""
"bg","eu",0.3419,"0.0654",1477,5.2312,0,0.1391,"***"
"bg","cs",0.1154,"0.0298",1477,3.8788,1e-04,0.1009,"***"
"bg","nr",0.0576,"0.0293",1477,1.9671,0.0494,0.0511,"*"
"bg","dummpy.ve_veg",0.3851,"0.1102",1477,3.4954,5e-04,0.1229,"***"
"bg","dummpy.ve_both",0.1098,"0.0878",1477,1.2504,0.2113,0.0436,""
"bg","he",0.1929,"0.0298",1477,6.477,0,0.1678,"***"
"pr","eu",0.3459,"0.0655",1477,5.2842,0,0.1405,"***"
"pr","cs",0.1635,"0.0298",1477,5.4869,0,0.1427,"***"
"pr","nr",-0.0113,"0.0294",1477,-0.3846,0.7006,-0.01,""
"pr","dummpy.ve_veg",0.2098,"0.1104",1477,1.9011,0.0575,0.0668,""
"pr","dummpy.ve_both",-0.0189,"0.0879",1477,-0.215,0.8298,-0.0075,""
"pr","he",0.1898,"0.0298",1477,6.3631,0,0.1649,"***"
"os","eu",1.5239,"0.3126",1480,4.8747,0,0.3316,"***"
"os","cs",0.5964,"0.0865",1480,6.8962,0,0.279,"***"
"os","he",0.1179,"0.0905",1480,1.3024,0.1928,0.0549,""
"status","bg",0.4421,"0.2185",1475,2.0229,0.0431,0.1979,"*"
"status","pr",0.1205,"0.2238",1475,0.5386,0.5901,0.0541,""
"status","os",0.6322,"0.2853",1475,2.2158,0.0267,0.0811,"*"
"status","cs",0.7078,"0.1054",1475,6.7141,0,0.2771,"***"
"status","nr",0.9177,"0.1238",1475,7.4136,0,0.3645,"***"
"status","dummpy.ve_veg",-0.6792,"0.3515",1475,-1.9323,0.0533,-0.0971,""
"status","dummpy.ve_both",-0.9539,"0.2515",1475,-3.7931,1e-04,-0.1697,"***"
"status","he",0.2473,"0.1074",1475,2.3025,0.0213,0.0963,"*"
"~~pr","~~bg",0.9089,"-",1484,83.9004,0,0.9089,"***"
"~~os","~~bg",0.4701,"-",1484,20.4973,0,0.4701,"***"
"~~os","~~pr",0.4997,"-",1484,22.2017,0,0.4997,"***"
