"Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate",""
"bg","eu",0.485,"0.2463",221,1.9689,0.0502,0.1164,""
"bg","cs",0.4134,"0.0923",221,4.4779,0,0.2716,"***"
"bg","dummpy.ve_veg",1.9685,"1.2171",221,1.6173,0.1072,0.0924,""
"bg","dummpy.ve_both",0.2667,"0.1877",221,1.4207,0.1568,0.0815,""
"bg","he",0.53,"0.1024",221,5.1756,0,0.3147,"***"
"pr","eu",0.9658,"0.2533",220,3.8124,2e-04,0.2089,"***"
"pr","cs",0.5135,"0.0957",220,5.3661,0,0.3038,"***"
"pr","nr",-0.0958,"0.0817",220,-1.1727,0.2422,-0.0626,""
"pr","dummpy.ve_veg",1.1323,"1.2517",220,0.9046,0.3667,0.0479,""
"pr","dummpy.ve_both",-0.0142,"0.1929",220,-0.0736,0.9414,-0.0039,""
"pr","he",0.6607,"0.1056",220,6.2557,0,0.3534,"***"
"os","eu",17.1883,"1161.789",223,0.0148,0.9882,0.9331,""
"os","cs",0.1383,"0.1882",223,0.7345,0.4626,0.0205,""
"os","he",0.5467,"0.1995",223,2.7404,0.0061,0.0734,"**"
"status","bg",0.4349,"0.2583",220,1.6837,0.0922,0.2623,""
"status","pr",-0.1146,"0.255",220,-0.4495,0.653,-0.0768,""
"status","os",-0.5667,"0.4694",220,-1.2073,0.2273,-0.1025,""
"status","eu",0.7566,"0.6076",220,1.2451,0.2131,0.1096,""
"status","cs",0.7347,"0.221",220,3.3236,9e-04,0.2911,"***"
"status","nr",0.9474,"0.1991",220,4.7579,0,0.4149,"***"
"~~pr","~~bg",0.8466,"-",227,23.8026,0,0.8466,"***"
"~~os","~~bg",0.3871,"-",227,6.2841,0,0.3871,"***"
"~~os","~~pr",0.4331,"-",227,7.1924,0,0.4331,"***"
