"","Estimate","Std..Error","z.value","Pr...z..","model.var"
"bg_num","0.710180305339287","0.0293253766971088","24.2172611344257","1.46382617536368e-129","No. botanical gardens"
"chklst_prov_num","0.73625652439743","0.0302789198833044","24.315812031439","1.33389376538051e-130","No. provinces"
"factor.ali_new_status.1","1.71467182404099","0.0819371288173076","20.9266769386579","3.06106674965423e-97","Online-nursery availability"
"factor.wcup_eco_use_status.1","2.18161780471987","0.107548693477184","20.2849307991146","1.7470862363079e-91","Economic use"
"hab_suit_mean","0.702847626900112","0.0359681903868629","19.5408114598065","4.93907554799487e-85","Climatic suitability"
"new_sum.L3.code","1.34298457103391","0.0423272589850684","31.7285976752632","6.26732535001311e-221","Native range size"
"residence_time_to_2020","0.291234196909336","0.0484288951772562","6.01364528022744","1.81397211598768e-09","Min. residence time"
"factor.Life_form_new.1","1.97835328347673","0.105871985571524","18.6862773263114","6.40278251923899e-78","Life form"
"factor.Life_form_new.2","0.234515075466751","0.08697162250065","2.69645510482454","0.00700818439555433","Life form"
"factor.prop_type.2","-1.08831737862194","0.15549658561902","-6.99897926561812","2.57834011202607e-12","Propagation mode"
"factor.prop_type.3","-0.908235282822968","0.0963418238714081","-9.4272170312577","4.21113556140104e-21","Propagation mode"
"Height_max_max","0.325250219699364","0.0426009036045631","7.63481973806126","2.26136603034553e-14","Maximum height"
"Height_max_max.1","0.0346688529053007","0.0706889593881962","0.490442258668894","0.623820979576035","Interaction between max. height and life form"
"Life_form_new1","1.95190971919187","0.122914636283202","15.8802057933489","8.68928510758162e-57","Interaction between max. height and life form"
"Life_form_new2","0.207587036088124","0.102237348438979","2.03044229195775","0.0423116014578187","Interaction between max. height and life form"
"Height_max_max.Life_form_new1","0.274389350254567","0.119937312280195","2.28777304608548","0.0221507412833136","Interaction between max. height and life form"
"Height_max_max.Life_form_new2","0.494454586766787","0.0912434779014236","5.4190677310764","5.99106190863664e-08","Interaction between max. height and life form"
