"n_species","mean","continent.name","variable","levels"
1982,2.55867810292634,"Africa","Height_max_max",NA
3302,2.09781950333131,"Africa","bg_num",NA
1411,0.161824238128987,"Africa","hab_suit_mean",NA
3302,10.4264082374319,"Africa","new_sum.L3.code",NA
3302,2.48334342822532,"Africa","prov_num",NA
607,68.3822075782537,"Africa","residence_time_to_2020",NA
6,0.555,"Antarctic","Height_max_max",NA
11,3.36363636363636,"Antarctic","bg_num",NA
9,0.195888888888889,"Antarctic","hab_suit_mean",NA
11,25.4545454545455,"Antarctic","new_sum.L3.code",NA
11,2.90909090909091,"Antarctic","prov_num",NA
4,82.5,"Antarctic","residence_time_to_2020",NA
1155,4.65707792207792,"Asia_Temperate","Height_max_max",NA
1642,2.45980511571255,"Asia_Temperate","bg_num",NA
1192,0.194354865771812,"Asia_Temperate","hab_suit_mean",NA
1642,20.1912302070646,"Asia_Temperate","new_sum.L3.code",NA
1642,3.0931790499391,"Asia_Temperate","prov_num",NA
729,78.6941015089163,"Asia_Temperate","residence_time_to_2020",NA
736,4.90960597826087,"Asia_Tropical","Height_max_max",NA
1895,2.5287598944591,"Asia_Tropical","bg_num",NA
586,0.179551194539249,"Asia_Tropical","hab_suit_mean",NA
1895,10.3129287598945,"Asia_Tropical","new_sum.L3.code",NA
1895,2.82955145118733,"Asia_Tropical","prov_num",NA
610,70.5655737704918,"Asia_Tropical","residence_time_to_2020",NA
549,8.18747723132969,"Australasia","Height_max_max",NA
967,2.00310237849018,"Australasia","bg_num",NA
759,0.131096179183136,"Australasia","hab_suit_mean",NA
967,6.33195449844881,"Australasia","new_sum.L3.code",NA
967,2.26783867631851,"Australasia","prov_num",NA
203,66.0492610837438,"Australasia","residence_time_to_2020",NA
1112,3.42934802158273,"Europe","Height_max_max",NA
1436,2.07590529247911,"Europe","bg_num",NA
1193,0.177485331098072,"Europe","hab_suit_mean",NA
1436,20.6608635097493,"Europe","new_sum.L3.code",NA
1436,2.73955431754875,"Europe","prov_num",NA
574,75.0261324041812,"Europe","residence_time_to_2020",NA
2354,5.15164188615123,"Northern_America","Height_max_max",NA
3202,2.44690818238601,"Northern_America","bg_num",NA
2151,0.182343561134356,"Northern_America","hab_suit_mean",NA
3202,14.628981886321,"Northern_America","new_sum.L3.code",NA
3202,2.87507807620237,"Northern_America","prov_num",NA
782,66.8184143222506,"Northern_America","residence_time_to_2020",NA
125,7.19632,"Pacific","Height_max_max",NA
198,3.05050505050505,"Pacific","bg_num",NA
97,0.155917525773196,"Pacific","hab_suit_mean",NA
198,15.4444444444444,"Pacific","new_sum.L3.code",NA
198,3.21212121212121,"Pacific","prov_num",NA
60,73.9833333333333,"Pacific","residence_time_to_2020",NA
2110,3.43129383886256,"Southern_America","Height_max_max",NA
3659,2.3930035528833,"Southern_America","bg_num",NA
1664,0.157740985576923,"Southern_America","hab_suit_mean",NA
3659,9.13746925389451,"Southern_America","new_sum.L3.code",NA
3659,2.76223011751845,"Southern_America","prov_num",NA
710,60.8577464788732,"Southern_America","residence_time_to_2020",NA
