"variable","levels","Africa","Antarctic","Asia_Temperate","Asia_Tropical","Australasia","Europe","Northern_America","Pacific","Southern_America"
"bg_num",NA,3302,11,1642,1895,967,1436,3202,198,3659
"prov_num",NA,3302,11,1642,1895,967,1436,3202,198,3659
"ali_new_status",0,2989,11,1489,1762,923,1313,2908,182,3404
"ali_new_status",1,313,NA,153,133,44,123,294,16,255
"wcup_eco_use_status",0,1727,3,583,881,463,531,1418,77,2182
"wcup_eco_use_status",1,1575,8,1059,1014,504,905,1784,121,1477
"hab_suit_mean",NA,1411,9,1192,586,759,1193,2151,97,1664
"new_sum.L3.code",NA,3302,11,1642,1895,967,1436,3202,198,3659
"residence_time_to_2020",NA,607,4,729,610,203,574,782,60,710
"Life_form_new",1,194,NA,222,85,22,206,150,1,111
"Life_form_new",2,1291,7,652,681,161,689,1237,48,1736
"Life_form_new",3,1212,3,482,636,681,355,1474,131,1386
"prop_type",1,381,1,246,178,171,220,428,50,339
"prop_type",2,306,1,131,186,62,81,250,29,407
"prop_type",3,1356,3,696,411,193,713,1670,35,1412
"Height_max_max",NA,1982,6,1155,736,549,1112,2354,125,2110
