"variable","levels","Africa","Antarctic","Asia_Temperate","Asia_Tropical","Australasia","Europe","Northern_America","Pacific","Southern_America"
"bg_num",NA,2.09781950333131,3.36363636363636,2.45980511571255,2.5287598944591,2.00310237849018,2.07590529247911,2.44690818238601,3.05050505050505,2.3930035528833
"prov_num",NA,2.48334342822532,2.90909090909091,3.0931790499391,2.82955145118733,2.26783867631851,2.73955431754875,2.87507807620237,3.21212121212121,2.76223011751845
"ali_new_status",0,0.047842087654734,0.272727272727273,0.0899932840832774,0.0539160045402951,0.0303358613217768,0.0753998476770754,0.093878954607978,0.0494505494505494,0.082256169212691
"ali_new_status",1,0.162939297124601,NA,0.294117647058824,0.360902255639098,0.25,0.292682926829268,0.289115646258503,0.375,0.349019607843137
"wcup_eco_use_status",0,0.013317892298784,0,0.0343053173241852,0.018161180476731,0.00431965442764579,0.0282485875706215,0.0232722143864598,0,0.0178735105407883
"wcup_eco_use_status",1,0.108571428571429,0.375,0.15014164305949,0.125246548323471,0.0734126984126984,0.132596685082873,0.182174887892377,0.12396694214876,0.22342586323629
"hab_suit_mean",NA,0.161824238128987,0.195888888888889,0.194354865771812,0.179551194539249,0.131096179183136,0.177485331098072,0.182343561134356,0.155917525773196,0.157740985576923
"new_sum.L3.code",NA,10.4264082374319,25.4545454545455,20.1912302070646,10.3129287598945,6.33195449844881,20.6608635097493,14.628981886321,15.4444444444444,9.13746925389451
"residence_time_to_2020",NA,68.3822075782537,82.5,78.6941015089163,70.5655737704918,66.0492610837438,75.0261324041812,66.8184143222506,73.9833333333333,60.8577464788732
"Life_form_new",1,0.221649484536082,NA,0.234234234234234,0.4,0.136363636363636,0.213592233009709,0.46,0,0.558558558558559
"Life_form_new",2,0.0759101471727343,0.285714285714286,0.134969325153374,0.0837004405286344,0.0372670807453416,0.104499274310595,0.111560226354082,0.104166666666667,0.0806451612903226
"Life_form_new",3,0.0321782178217822,0.333333333333333,0.0477178423236514,0.0676100628930818,0.0381791483113069,0.0253521126760563,0.0861601085481682,0.0610687022900763,0.101010101010101
"prop_type",1,0.152230971128609,1,0.252032520325203,0.269662921348315,0.0467836257309941,0.213636363636364,0.191588785046729,0.04,0.233038348082596
"prop_type",2,0.0392156862745098,0,0.099236641221374,0.043010752688172,0.0483870967741935,0.111111111111111,0.064,0.0689655172413793,0.0712530712530713
"prop_type",3,0.0486725663716814,0,0.0718390804597701,0.114355231143552,0.0932642487046632,0.05890603085554,0.0832335329341317,0.257142857142857,0.0906515580736544
"Height_max_max",NA,2.55867810292634,0.555,4.65707792207792,4.90960597826087,8.18747723132969,3.42934802158273,5.15164188615123,7.19632,3.43129383886256
