Standardized_names,naturalized_status,min_record_year_cvh,residence_time_to_2020,prop_type,prop_data_source,chklst_prov_num,bg_num,Height_max_max,Height_max_data_source_tog,Life_form_new,LF_data_source,tip.label,tip.order,match.type,TPL_Family,TPL_New.Genus,TPL_New.Hybrid.marker,TPL_New.Species,TPL_New.Infraspecific.rank,TPL_New.Infraspecific,TPL_New.Authority,TPL_New.ID,TPL_New.Taxonomic.status,TPL_Date,wcup_eco_use_AF,wcup_eco_use_EU,wcup_eco_use_FU,wcup_eco_use_GS,wcup_eco_use_HF,wcup_eco_use_IF,wcup_eco_use_MA,wcup_eco_use_ME,wcup_eco_use_PO,wcup_eco_use_SU,wcup_eco_use_num,biomod2_used_names,hab_suit_prop_min,hab_suit_prop_max,ali_new_status,X1,X2,X3,X4,X5,X6,X7,X8,X9,new_sum.L3.code,new_sum.L2.code,new_sum.L1.code
Acacia gyrocarpa,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Acacia_gyrocarpa,1811,species added to genus root,Leguminosae,Acacia,NA,gyrocarpa,NA,NA,Hochst. ex A.Rich.,kew-2612410,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegilops uniaristata,0,1982,38,NA,NA,0,0,NA,NA,NA,TPL_Tiplabels_LF_fine,Aegilops_uniaristata,10037,species added to genus root,Poaceae,Aegilops,NA,uniaristata,NA,NA,Steud.,kew-387936,Unresolved,2019/3/24 0:00,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,1,0,0,0,0,0,0,8,3,2
Aerides retrofractum,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Aerides_retrofractum,12118,species added to genus root,Orchidaceae,Aerides,NA,retrofractum,NA,NA,Wall. ex Hook.,tro-50031896,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agave geminiflora,0,NA,NA,1,DavesGarden,5,4,0.9,DavesGarden,NA,TPL_Tiplabels_LF_fine,Agave_geminiflora,11534,species added to genus root,Asparagaceae,Agave,NA,geminiflora,NA,NA,(Tagl.) Ker Gawl.,kew-293833,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1,1
Agave longisepala,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Agave_longisepala,11535,species added to genus root,Asparagaceae,Agave,NA,longisepala,NA,NA,Tod.,kew-293958,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agonis hypericifolia,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Agonis_hypericifolia,3077,species added to genus root,Myrtaceae,Agonis,NA,hypericifolia,NA,NA,(Otto & A.Dietr.) Schauer,kew-4784,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,1,1
Agropyron arenarium,0,NA,NA,NA,NA,1,0,NA,NA,NA,TPL_Tiplabels_LF_fine,Agropyron_arenarium,10035,species added to genus root,Poaceae,Agropyron,NA,arenarium,NA,NA,Opiz ex Bercht.,tro-50046890,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agropyron longiaristatum,0,NA,NA,NA,NA,0,0,NA,NA,NA,TPL_Tiplabels_LF_fine,Agropyron_longiaristatum,10036,species added to genus root,Poaceae,Agropyron,NA,longiaristatum,NA,NA,(Boiss.) Boiss.,kew-388593,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis lessoniana,0,NA,NA,3,DavesGarden,0,0,0.9,DavesGarden,NA,TPL_Tiplabels_LF_fine,Agrostis_lessoniana,9840,species added to genus root,Poaceae,Agrostis,NA,lessoniana,NA,NA,Steud.,kew-389846,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,2,1,1
Alcantarea nevaresii,0,NA,NA,NA,NA,2,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Alcantarea_nevaresii,10682,species added to genus root,Bromeliaceae,Alcantarea,NA,nevaresii,NA,NA,Leme,kew-218487,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1,1
