"prov_name_en","prov_name_cn","n.species"
"Anhui","安徽省",150
"Beijing","北京市",4605
"Chongqing","重庆市",170
"Fujian","福建省",3494
"Gansu","甘肃省",118
"Guangdong","广东省",3321
"Guangxi","广西壮族自治区",674
"Guizhou","贵州省",273
"Hainan","海南省",497
"Hebei","河北省",175
"Heilongjiang","黑龙江省",204
"Henan","河南省",74
"Hong Kong","香港特别行政区",3
"Hubei","湖北省",912
"Hunan","湖南省",71
"Inner Mongolia","内蒙古自治区",98
"Jiangsu","江苏省",2045
"Jiangxi","江西省",1663
"Jilin","吉林省",139
"Liaoning","辽宁省",243
"Ningxia","宁夏回族自治区",80
"Qinghai","青海省",42
"Shaanxi","陕西省",367
"Shandong","山东省",142
"Shanghai","上海市",2772
"Shanxi","山西省",85
"Sichuan","四川省",821
"Taiwan","台湾省",5685
"Tianjin","天津市",55
"Tibet","西藏自治区",29
"Xinjiang","新疆维吾尔自治区",285
"Yunnan","云南省",3121
"Zhejiang","浙江省",1541
